2026-04-22 | [西10]休斯敦迪纳摩 vs 圣地亚哥[西9] | 1-0 | 1-0
2026-04-22 | [西5]皇家盐湖城 vs 迈阿密国际[东2] | 0-0 | 0-2
2026-04-22 | [东12]哥伦布机员 vs 洛杉矶银河[西11] | 1-0 | 2-1
2026-04-23 | [西2]圣何塞地震 vs 奥斯汀FC[西13] | 0-1 | 5-1
2026-04-23 | [西3]洛杉矶FC vs 科罗拉多急流[西8] | 0-0 | 0-0
2026-04-25 | [东6]多伦多FC vs 亚特兰大联[东15] | 0-0 | 1-2
2026-04-25 | [东13]CF蒙特利尔 vs 纽约城[东7] | 1-0 | 1-0
2026-04-25 | [西4]明尼苏达联 vs 洛杉矶FC[西3] | 0-1 | 0-1
2026-04-25 | [东10]华盛顿联 vs 奥兰多城[东12] | 1-0 | 3-2
2026-04-25 | [东2]迈阿密国际 vs 新英格兰革命[东3] | 0-0 | 1-1
2026-04-25 | [东9]哥伦布机员 vs 费城联合[东14] | 2-0 | 2-0
2026-04-25 | [东11]辛辛那提 vs 纽约红牛[东8] | 2-0 | 2-0
2026-04-25 | [西14]圣路易斯城 vs 圣何塞地震[西1] | 0-1 | 2-3
2026-04-25 | [东1]纳什威尔SC vs 夏洛特FC[东5] | 2-1 | 4-2
2026-04-25 | [西13]奥斯汀FC vs 休斯敦迪纳摩[西9] | 2-0 | 2-0
2026-04-25 | [东4]芝加哥火焰 vs 堪萨斯城竞技[西15] | 0-0 | 5-0
2026-04-25 | [西10]圣地亚哥 vs 波特兰伐木者[西12] | 1-1 | 1-2
2026-04-26 | [西5]西雅图海湾人 vs 达拉斯FC[西8] | 2-1 | 2-1
2026-04-26 | [西2]温哥华白浪 vs 科罗拉多急流[西7] | 2-1 | 3-1
2026-04-26 | [西13]洛杉矶银河 vs 皇家盐湖城[西6] | 1-1 | 2-1
2026-05-02 | [东6]多伦多FC vs 圣何塞地震[西1] | 1-1 | 1-1
2026-05-02 | [西15]堪萨斯城竞技 vs 西雅图海湾人[西4] | 1-1 | 1-1
2026-05-02 | [西6]皇家盐湖城 vs 波特兰伐木者[西12] | 2-0 | 2-0
2026-05-02 | [东2]迈阿密国际 vs 奥兰多城[东14] | 3-1 | 3-4
2026-05-02 | [东13]亚特兰大联 vs CF蒙特利尔[东12] | 2-1 | 3-1
2026-05-02 | [东11]纽约红牛 vs 达拉斯FC[西8] | 0-0 | 0-2
2026-05-02 | [东15]费城联合 vs 纳什威尔SC[东1] | 0-0 | 0-0
2026-05-02 | [东8]哥伦布机员 vs 明尼苏达联[西5] | 1-0 | 2-3
2026-05-02 | [东4]新英格兰革命 vs 夏洛特FC[东5] | 0-0 | 1-0
2026-05-02 | [东3]芝加哥火焰 vs 辛辛那提[东9] | 2-2 | 2-3
2026-05-02 | [西9]休斯敦迪纳摩 vs 科罗拉多急流[西7] | 0-0 | 1-0
2026-05-02 | [西11]圣地亚哥 vs 洛杉矶FC[西3] | 1-0 | 2-2
2026-05-03 | [西10]洛杉矶银河 vs 温哥华白浪[西2] | 0-0 | 1-1
2026-05-03 | [东8]纽约城 vs 华盛顿联[东10] | 0-1 | 0-2
2026-05-03 | [西13]奥斯汀FC vs 圣路易斯城[西14] | 0-0 | 2-0
2026-05-09 | [东8]多伦多FC vs 迈阿密国际[东3] | 0-1 | 2-4
2026-05-09 | [东4]芝加哥火焰 vs 纽约红牛[东11] | 0-1 | 1-3
2026-05-09 | [东14]CF蒙特利尔 vs 奥兰多城[东13] | 0-0 | 2-0
2026-05-09 | [东12]亚特兰大联 vs 洛杉矶银河[西10] | 0-0 | 1-2
2026-05-09 | [东7]夏洛特FC vs 辛辛那提[东6] | 0-2 | 2-2
2026-05-09 | [东2]新英格兰革命 vs 费城联合[东15] | 0-1 | 2-1
2026-05-09 | [西7]达拉斯FC vs 皇家盐湖城[西6] | 2-0 | 3-1
2026-05-09 | [东1]纳什威尔SC vs 华盛顿联[东5] | 0-2 | 2-2
2026-05-09 | [西9]科罗拉多急流 vs 圣路易斯城[西14] | 0-1 | 0-1
