date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-02,021,美职联,lg-mls,,1.75,1.51,20.0,9.0,,,,,,,,,,,,,0.24,11.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,no,no,ok,
2026-08-02,022,美职联,lg-mls,,1.28,1.65,18.0,18.0,,,,,,,,,,,,,-0.3699999999999999,0.0,,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,no,ok,
2026-08-02,023,美职联,lg-mls,,1.77,1.43,14.0,16.0,,,,,,,,,,,,,0.3400000000000001,-2.0,,,,,2-1（1-1）,主胜,平胜,3,2,1,1.0,1.0,ok,no,ok,
2026-08-03,012,挪超,lg-nor,,1.02,2.18,12.0,15.0,,,,,,,,,,,,,-1.1600000000000001,-3.0,,,,,3-2（1-0）,主胜,胜胜,5,3,2,1.0,0.0,no,no,no,
2026-08-03,013,巴西杯,lg-bras,,,,,,2.0,3.0,3.0,2.0,,,,,,,,,,,-1.0,1.0,,,1-1（1-0）,平,胜平,2,1,1,1.0,0.0,no,no,ok,
2026-08-03,014,巴西杯,lg-bras,,,,,,3.0,3.0,4.0,5.0,,,,,,,,,,,0.0,-1.0,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,no,ok,
2026-08-04,001,芬超,lg-fin,,,,8.0,19.0,4.0,6.0,,,,,,,,,,,,-11.0,-2.0,,,,3-0（0-0）,主胜,平胜,3,3,0,0.0,0.0,no,no,ok,
2026-08-04,002,瑞超,lg-swe,,0.73,2.6,14.0,19.0,,,,,,,,,,,,,-1.87,-5.0,,,,,0-2（0-2）,客胜,负负,2,0,2,0.0,2.0,ok,ok,ok,
2026-08-04,003,瑞超,lg-swe,,,,15.0,5.0,11.0,1.0,,,,,,,,,,,,10.0,10.0,,,,6-0（3-0）,主胜,胜胜,6,6,0,3.0,0.0,ok,no,ok,
2026-08-04,004,巴西杯,lg-bras,,,,21.0,4.0,5.0,1.0,,,,,,,,,,,,17.0,4.0,,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,ok,ok,ok,
2026-08-07,001,日职联,lg-j1,,1.46,3.44,11.0,21.0,,,,,,,,,,,,,-1.98,-10.0,,,,,3-4（2-1）,客胜,胜负,7,3,4,2.0,1.0,ok,no,no,
2026-08-07,002,日职联,lg-j1,,1.08,3.2,12.0,19.0,,,,,,,,,,,,,-2.12,-7.0,,,,,4-3（2-1）,主胜,胜胜,7,4,3,2.0,1.0,no,no,no,
2026-08-07,003,芬超,lg-fin,,,,23.0,8.0,6.0,3.0,,,,,,,,,,,,15.0,3.0,,,,2-2（1-2）,平,负平,4,2,2,1.0,2.0,ok,no,no,
