date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit,hm_n_h,hm_fh_sc_h,hm_fh_cc_h,hm_ht_lead_h,hm_ht_trail_h,hm_first_min_h,hm_fh_share_h,hm_n_a,hm_fh_sc_a,hm_fh_cc_a,hm_ht_lead_a,hm_ht_trail_a,hm_first_min_a,hm_fh_share_a,hm_fh_sc_diff,hm_fh_cc_diff,hm_ht_lead_diff,hm_ht_trail_diff,hm_first_min_diff,hm_fh_share_diff,lam_h,lam_a,rain_p,h2h_wr,form5_w,form5_d,form5_l,form_gf,form_ga,lam_sum
2026-08-02,009,挪超,lg-nor,,1.4,1.38,14.0,16.0,,,,,,,,,,,,,0.02,-2.0,,,,,2-1（2-0）,主胜,胜胜,3,2,1,2.0,0.0,ok,no,ok,,1,1.0,2.0,0.0,0.0,1.0,0.5,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,,,,,,,,,,
2026-08-02,010,挪超,lg-nor,,1.83,1.46,19.0,14.0,,,,,,,,,,,,,0.3700000000000001,5.0,,,,,3-3（1-1）,平,平平,6,3,3,1.0,1.0,ok,no,ok,,1,2.0,1.0,0.0,0.0,1.0,0.5,1,1.0,0.0,1.0,0.0,29.0,1.0,1.0,1.0,-1.0,0.0,-28.0,-0.5,,,,,,,,,,
2026-08-02,011,挪超,lg-nor,,2.98,2.77,24.0,11.0,,,,,,,,,,,,,0.2099999999999999,13.0,,,,,2-6（1-1）,客胜,平负,8,2,6,1.0,1.0,no,no,ok,,1,0.0,0.0,0.0,1.0,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-02,015,挪超,lg-nor,,2.51,1.58,26.0,12.0,,,,,,,,,,,,,0.9299999999999996,14.0,,,,,0-3（0-3）,客胜,负负,3,0,3,0.0,3.0,ok,ok,ok,,1,2.0,1.0,0.0,0.0,1.0,1.0,2,0.5,0.0,1.0,0.0,31.0,0.5,1.5,1.0,-1.0,0.0,-30.0,0.5,,,,,,,,,,
2026-08-02,016,芬超,lg-fin,,,,18.0,12.0,8.0,7.0,,,,,,,,,,,,6.0,1.0,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,,1,2.0,0.0,1.0,0.0,2.0,0.667,2,1.5,0.5,0.5,0.5,1.0,1.0,0.5,-0.5,0.5,-0.5,1.0,-0.333,,,,,,,,,,
2026-08-02,017,美职联,lg-mls,,1.61,1.07,12.0,13.0,,,,,,,,,,,,,0.54,-1.0,,,,,2-2（2-1）,平,胜平,4,2,2,2.0,1.0,ok,no,no,,1,1.0,1.0,0.0,0.0,18.0,0.333,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-02,018,美职联,lg-mls,,2.51,0.3,21.0,5.0,,,,,,,,,,,,,2.21,16.0,,,,,1-1（0-1）,平,负平,2,1,1,0.0,1.0,ok,ok,no,,0,,,,,,,1,2.0,0.0,1.0,0.0,11.0,0.667,,,,,,,,,,,,,,,,
2026-08-02,019,巴西杯,lg-bras,,,,20.0,6.0,4.0,3.0,,,,,,,,,,,,14.0,1.0,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,no,no,ok,,1,1.0,0.0,1.0,0.0,36.0,0.333,1,0.0,3.0,0.0,1.0,2.0,,1.0,-3.0,1.0,-1.0,34.0,,,,,,,,,,,
2026-08-02,020,美职联,lg-mls,,0.94,0.78,14.0,14.0,,,,,,,,,,,,,0.1599999999999999,0.0,,,,,2-1（1-1）,主胜,平胜,3,2,1,1.0,1.0,ok,ok,ok,,1,1.0,1.0,0.0,0.0,18.0,0.5,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-02,021,美职联,lg-mls,,1.75,1.51,20.0,9.0,,,,,,,,,,,,,0.24,11.0,,,,,1-1（0-0）,平,平平,2,1,1,0.0,0.0,no,no,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-02,022,美职联,lg-mls,,1.28,1.65,18.0,18.0,,,,,,,,,,,,,-0.3699999999999999,0.0,,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,no,ok,,1,1.0,0.0,1.0,0.0,13.0,1.0,1,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,
2026-08-02,023,美职联,lg-mls,,1.77,1.43,14.0,16.0,,,,,,,,,,,,,0.3400000000000001,-2.0,,,,,2-1（1-1）,主胜,平胜,3,2,1,1.0,1.0,ok,no,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-03,012,挪超,lg-nor,,1.02,2.18,12.0,15.0,,,,,,,,,,,,,-1.16,-3.0,,,,,3-2（1-0）,主胜,胜胜,5,3,2,1.0,0.0,no,no,no,,1,0.0,3.0,0.0,1.0,4.0,0.0,1,2.0,0.0,1.0,0.0,10.0,0.4,-2.0,3.0,-1.0,1.0,-6.0,-0.4,,,,,,,,,,
2026-08-03,013,巴西杯,lg-bras,,,,,,2.0,3.0,3.0,2.0,,,,,,,,,,,-1.0,1.0,,,1-1（1-0）,平,胜平,2,1,1,1.0,0.0,no,no,ok,,1,1.0,1.0,0.0,0.0,1.0,0.5,1,0.0,0.0,0.0,0.0,65.0,0.0,1.0,1.0,0.0,0.0,-64.0,0.5,,,,,,,,,,
2026-08-03,014,巴西杯,lg-bras,,,,,,3.0,3.0,4.0,5.0,,,,,,,,,,,0.0,-1.0,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,no,ok,,2,0.5,0.5,0.5,0.5,14.0,0.5,2,1.5,0.0,0.5,0.0,2.0,1.0,-1.0,0.5,0.0,0.5,12.0,-0.5,,,,,,,,,,
